数据组,实验序号,配置ID,精度模式,Batch,算子实现,图优化策略,通过准入且指标完整,未评分原因,可行配置数,评分排名,TOPSIS得分,与本组最高分差值,最小余弦,余弦阈值,权重样本Exp,有效初始L9数量,权重来源,评分范围,用途,原始数据来源,来源CSV_SHA256,数据一致性提示,FPS,FPS_CRITIC权重,FPS_权重样本最小值,FPS_权重样本最大值,FPS_评分最小值,FPS_评分最大值,FPS_同向归一化,平均批延迟_ms,平均批延迟_ms_CRITIC权重,平均批延迟_ms_权重样本最小值,平均批延迟_ms_权重样本最大值,平均批延迟_ms_评分最小值,平均批延迟_ms_评分最大值,平均批延迟_ms_同向归一化,P95批延迟_ms,P95批延迟_ms_CRITIC权重,P95批延迟_ms_权重样本最小值,P95批延迟_ms_权重样本最大值,P95批延迟_ms_评分最小值,P95批延迟_ms_评分最大值,P95批延迟_ms_同向归一化,P99批延迟_ms,P99批延迟_ms_CRITIC权重,P99批延迟_ms_权重样本最小值,P99批延迟_ms_权重样本最大值,P99批延迟_ms_评分最小值,P99批延迟_ms_评分最大值,P99批延迟_ms_同向归一化
81组实验数据3,81,A3-B3-C3-D3,force_fp16,16,high_performance_for_all,l2_single_stream,是,,81,11,0.7968237896045386,0.105859560072188,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,875.0003136,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.9958295272204877,18.2857077321,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.5538229282192995,18.54689819,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.5511490780407751,18.57044569,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.5670794858920605
81组实验数据3,77,A3-B3-C2-D2,force_fp16,16,high_performance,l2_with_tiling,是,,81,12,0.796717088706484,0.10596626097024264,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,875.4260143,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.996737027027688,18.2768157887,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.5540580697404358,18.58226905,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.5502219466098658,18.61834891,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.5658644040007133
81组实验数据3,75,A3-B3-C1-D3,force_fp16,16,high_precision,l2_single_stream,是,,81,13,0.7960406401859995,0.10664270949072707,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,874.3102662,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.9943584986728271,18.3001396856,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.5534412848207416,18.58870603,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.5500532222283231,18.68081225,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.564279999584746
81组实验数据3,73,A3-B3-C1-D1,force_fp16,16,high_precision,standard_l2,是,,81,14,0.7952710448750943,0.10741230480163233,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,871.1989351,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.9877258284108652,18.3654953598,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.5517129975437128,18.49624261,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.5524768484248975,18.60439234,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.5662184172689722
81组实验数据3,80,A3-B3-C3-D2,force_fp16,16,high_performance_for_all,l2_with_tiling,是,,81,15,0.795070182827002,0.10761316684972455,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,872.4337676,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.9903582183873786,18.3395010535,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.5524003996614846,18.60577529,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.5496058073945203,18.71628877,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.5633801252752524
81组实验数据3,74,A3-B3-C1-D2,force_fp16,16,high_precision,l2_with_tiling,是,,81,16,0.7944488273431021,0.10823452233362452,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,873.2288684,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.9920531975657186,18.3228023935,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.5528419846037975,18.63246175,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.5489063091113091,18.9868262,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.556517848958032
81组实验数据3,76,A3-B3-C2-D1,force_fp16,16,high_performance,standard_l2,是,,81,17,0.7927448133899756,0.10993853628675099,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,868.2894666,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.9815234845979343,18.4270345495,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.5500856346574897,18.70595188,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.5469800056687406,18.73687076,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.5628580559167231
81组实验数据3,78,A3-B3-C2-D3,force_fp16,16,high_performance,l2_single_stream,是,,81,18,0.7839888227567756,0.11869452691995097,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,868.3695927,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.9816942957342601,18.4253342523,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.5501305978845377,18.51389599,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.5520141227953881,21.57734222,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.49080850613834903
81组实验数据3,62,A3-B1-C3-D2,force_fp16,1,high_performance_for_all,l2_with_tiling,是,,81,19,0.7089836873274546,0.19369966234927194,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,707.5162733,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.6387905693766812,1.41339505215,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,1.0,1.4361862,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9996504402119316,1.503047371,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,1.0
81组实验数据3,60,A3-B1-C2-D3,force_fp16,1,high_performance,l2_single_stream,是,,81,20,0.7075454195790095,0.19513793009771707,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,706.6017907,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.636841094585618,1.41522426515,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9999516276804795,1.422850194,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,1.0,1.507737136,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9998810424742601
81组实验数据3,61,A3-B1-C3-D1,force_fp16,1,high_performance_for_all,standard_l2,是,,81,21,0.7065482143204435,0.19613513535628313,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,705.9879362,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.6355324924611698,1.41645479862,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9999190870424066,1.455511149,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9991438998671784,1.50635912,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9999159963309651
81组实验数据3,57,A3-B1-C1-D3,force_fp16,1,high_precision,l2_single_stream,是,,81,22,0.7029074872757407,0.19977586240098588,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,703.6778113,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.6306078167409781,1.42110492038,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9997961176694666,1.442243872,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9994916581492581,1.518128376,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9996174650455895
81组实验数据3,58,A3-B1-C2-D1,force_fp16,1,high_performance,standard_l2,是,,81,23,0.7022640649895124,0.20041928468721415,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,703.2657293,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.629729348992274,1.42193762377,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9997740973829025,1.423077358,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9999940456385745,1.532436676,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9992545300231429
81组实验数据3,55,A3-B1-C1-D1,force_fp16,1,high_precision,standard_l2,是,,81,24,0.7003631653478132,0.2023201843289134,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,702.0607416,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.6271605815332854,1.42437817805,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9997095585503887,1.432777069,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9997397994331151,1.52945538,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9993301516365198
81组实验数据3,56,A3-B1-C1-D2,force_fp16,1,high_precision,l2_with_tiling,是,,81,25,0.6871792045059869,0.21550414517073968,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,693.7610047,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.6094673768085495,1.44141857675,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9992589365557538,1.502314532,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9979171022305876,1.698541289,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9950412285514355
